Order,Line item,Order ID,Line item ID,Line item start time,Line item end time,Ad unit targeting,Custom targeting,Targeted sizes
Federmanager 2023,320x100 SN HP M 0,3209422955,6312034992,"May 29, 2023 03:04:00 PM","June 01, 2023 11:59:00 PM",ca-pub-4497435727402902 > VN_BIGLB0-MOB,"(sito = ""saronnonews.it"" AND Sezione = ""home"")",320x100
Bike & Walk 2023,300x250 HP M 1 + D 2 - 50%,3212978835,6312604794,"May 30, 2023 01:52:00 PM","June 07, 2023 11:59:00 PM","ca-pub-4497435727402902 > VN_MR2, ca-pub-4497435727402902 > VN_MR1-MOB","(sito = ""varesenews"" AND Sezione = ""home"")",300x250
Federmanager 2023,320x100 BU+GA+VA  M 0 - 50%,3209422955,6312969245,"May 29, 2023 12:00:00 AM","June 01, 2023 11:59:00 PM",ca-pub-4497435727402902 > VN_BIGLB0-MOB,"(sito = ""varesenews"" AND (Sezione = ""varese-laghi"" OR Sezione = ""busto arsizio"" OR Sezione = ""busto-arsizio-alto-milanese"" OR Sezione = ""gallarate-malpensa""))",320x100
Studio risarcimenti 2023,320x100 VA M LB1,3205731055,6312973436,"May 29, 2023 12:00:00 AM","May 29, 2023 11:59:00 PM",ca-pub-4497435727402902 > VN_LB1-MOB,"(sito = ""varesenews"" AND Sezione = ""varese-laghi"")",320x100
Bike & Walk 2023,300x250 TL M 1 + D 1,3212978835,6314708281,"May 30, 2023 12:57:00 PM","June 07, 2023 11:59:00 PM","ca-pub-4497435727402902 > VN_MR1-MOB, ca-pub-4497435727402902 > VN_MR1","(sito = ""varesenews"" AND Sezione = ""tempo-libero"")",300x250
Bike & Walk 2023,300x250 VA D 1 - 50%,3212978835,6314729161,"May 30, 2023 01:45:00 PM","June 07, 2023 11:59:00 PM",ca-pub-4497435727402902 > VN_MR1,"(sito = ""varesenews"" AND Sezione = ""varese-laghi"")",300x250
Speciale Estate nel Varesotto 2023,300x250 HP D 3 + M 4,3211196077,6314797420,"May 30, 2023 03:21:00 PM","July 16, 2023 11:59:00 PM","ca-pub-4497435727402902 > VN_MR3, ca-pub-4497435727402902 > VN_MR4-MOB","(sito = ""varesenews"" AND Sezione = ""home"")",300x250
Speciale Estate nel Varesotto 2023,300x250 VA D 4,3211196077,6314804359,"May 30, 2023 03:28:00 PM","August 31, 2023 11:59:00 PM",ca-pub-4497435727402902 > VN_MR4,"(sito = ""varesenews"" AND Sezione = ""varese-laghi"")",300x250
Speciale Estate nel Varesotto 2023,300x250 TL M 2 + D 2,3211196077,6314811982,"May 30, 2023 03:32:00 PM","August 31, 2023 11:59:00 PM","ca-pub-4497435727402902 > VN_MR2-MOB, ca-pub-4497435727402902 > VN_MR2","(sito = ""varesenews"" AND Sezione = ""tempo-libero"")",300x250
ArciGay 2023,320x100 BU M 0,3212328361,6315203403,"June 01, 2023 03:15:00 PM","October 12, 2023 11:59:00 PM",ca-pub-4497435727402902 > VN_BIGLB0-MOB,"(sito = ""varesenews"" AND (Sezione = ""busto arsizio"" OR Sezione = ""busto-arsizio-alto-milanese""))",320x100
ArciGay 2023,300x250 VA M 2 - 50%,3212328361,6315204384,"June 05, 2023 12:00:00 AM","October 23, 2023 11:59:00 PM",ca-pub-4497435727402902 > VN_MR2-MOB,"(Sezione = ""varese-laghi"" AND sito = ""varesenews"")",300x250
Bike & Walk 2023,300x250 VA M 1 - 50%,3212978835,6315308873,"May 30, 2023 01:39:00 PM","June 07, 2023 11:59:00 PM",ca-pub-4497435727402902 > VN_MR1-MOB,"(sito = ""varesenews"" AND Sezione = ""varese-laghi"")",300x250
Speciale Estate nel Varesotto 2023,300x250 VA M 3 - 50%,3211196077,6315380555,"May 30, 2023 03:28:00 PM","August 31, 2023 11:59:00 PM",ca-pub-4497435727402902 > VN_MR3-MOB,"(sito = ""varesenews"" AND Sezione = ""varese-laghi"")",300x250
Arcobaleno 2023,300x250 HP D 1 - 50%,3195165078,6315948652,"June 05, 2023 12:00:00 AM","December 10, 2023 11:59:00 PM",ca-pub-4497435727402902 > VN_MR1,"(sito = ""varesenews"" AND Sezione = ""home"")",300x250
Speciale Estate nel Varesotto 2023,300x250 VN riempimento,3211196077,6315987304,"May 31, 2023 12:59:00 PM","August 31, 2023 09:06:00 AM",ca-pub-4497435727402902,"sito = ""varesenews""",300x250
Costruzioni Edili Fontana 2023,300x250 N24 M 1 - 50%,3212480627,6317949059,"June 05, 2023 12:00:00 AM","October 16, 2023 11:59:00 PM",ca-pub-4497435727402902 > VN_MR1-MOB,"(sito = ""varesenews"" AND (Sezione = ""N24"" OR Sezione = ""news 24""))",300x250
ArciGay 2023,320x100 SA M 0,3212328361,6318117324,"June 06, 2023 12:00:00 AM","October 10, 2023 08:44:00 AM",ca-pub-4497435727402902 > VN_BIGLB0-MOB,"(sito = ""varesenews"" AND Sezione = ""saronno-tradate"")",320x100
Coppa del mondo Canottaggio 2023,728x90 HP D 1.5 - 50%,3214171651,6318203931,"June 05, 2023 03:10:00 PM","June 19, 2023 11:59:00 PM",ca-pub-4497435727402902 > LB_DESK_1.5,"(sito = ""varesenews"" AND Sezione = ""home"")",728x90
Presscomm 2023,Intro Mobile 06/23 - MalpensaNews,3137850600,6318846918,"June 12, 2023 12:00:00 AM","June 25, 2023 11:59:00 PM",ca-pub-4497435727402902 > VN_MOB_INTRO_INTERSTITIAL,"sito = ""malpensanews.it""",300x250
